PERMNO,date,TICKER,COMNAM,CUSIP,PRC
58683,20211231,LUV,SOUTHWEST AIRLINES CO,84474110,42.84000
58683,20220131,LUV,SOUTHWEST AIRLINES CO,84474110,44.76000
58683,20220228,LUV,SOUTHWEST AIRLINES CO,84474110,43.80000
58683,20220331,LUV,SOUTHWEST AIRLINES CO,84474110,45.80000
81666,20100129,HA,HAWAIIAN HOLDINGS INC,41987910,5.94000
81666,20100226,HA,HAWAIIAN HOLDINGS INC,41987910,7.78000
81666,20100331,HA,HAWAIIAN HOLDINGS INC,41987910,7.37000
81666,20100430,HA,HAWAIIAN HOLDINGS INC,41987910,7.12000
81666,20100528,HA,HAWAIIAN HOLDINGS INC,41987910,7.12000
81666,20100630,HA,HAWAIIAN HOLDINGS INC,41987910,5.17000
81666,20100730,HA,HAWAIIAN HOLDINGS INC,41987910,6.00000
81666,20100831,HA,HAWAIIAN HOLDINGS INC,41987910,4.90000
81666,20100930,HA,HAWAIIAN HOLDINGS INC,41987910,5.99000
81666,20101029,HA,HAWAIIAN HOLDINGS INC,41987910,7.32000
81666,20101130,HA,HAWAIIAN HOLDINGS INC,41987910,7.90000
81666,20101231,HA,HAWAIIAN HOLDINGS INC,41987910,7.84000
81666,20110131,HA,HAWAIIAN HOLDINGS INC,41987910,7.39000
81666,20110228,HA,HAWAIIAN HOLDINGS INC,41987910,6.64000
81666,20110331,HA,HAWAIIAN HOLDINGS INC,41987910,6.01000
81666,20110429,HA,HAWAIIAN HOLDINGS INC,41987910,5.84000
81666,20110531,HA,HAWAIIAN HOLDINGS INC,41987910,5.54000
81666,20110630,HA,HAWAIIAN HOLDINGS INC,41987910,5.70000
81666,20110729,HA,HAWAIIAN HOLDINGS INC,41987910,4.70000
81666,20110831,HA,HAWAIIAN HOLDINGS INC,41987910,4.18000
81666,20110930,HA,HAWAIIAN HOLDINGS INC,41987910,4.21000
81666,20111031,HA,HAWAIIAN HOLDINGS INC,41987910,5.35000
81666,20111130,HA,HAWAIIAN HOLDINGS INC,41987910,5.95000
81666,20111230,HA,HAWAIIAN HOLDINGS INC,41987910,5.80000
81666,20120131,HA,HAWAIIAN HOLDINGS INC,41987910,6.96000
81666,20120229,HA,HAWAIIAN HOLDINGS INC,41987910,5.31000
81666,20120330,HA,HAWAIIAN HOLDINGS INC,41987910,5.23000
81666,20120430,HA,HAWAIIAN HOLDINGS INC,41987910,5.66000
81666,20120531,HA,HAWAIIAN HOLDINGS INC,41987910,5.78000
81666,20120629,HA,HAWAIIAN HOLDINGS INC,41987910,6.51000
81666,20120731,HA,HAWAIIAN HOLDINGS INC,41987910,6.37000
81666,20120831,HA,HAWAIIAN HOLDINGS INC,41987910,5.93000
81666,20120928,HA,HAWAIIAN HOLDINGS INC,41987910,5.59000
81666,20121031,HA,HAWAIIAN HOLDINGS INC,41987910,5.93000
81666,20121130,HA,HAWAIIAN HOLDINGS INC,41987910,6.24000
81666,20121231,HA,HAWAIIAN HOLDINGS INC,41987910,6.57000
81666,20130131,HA,HAWAIIAN HOLDINGS INC,41987910,5.77000
81666,20130228,HA,HAWAIIAN HOLDINGS INC,41987910,5.67000
81666,20130328,HA,HAWAIIAN HOLDINGS INC,41987910,5.77000
81666,20130430,HA,HAWAIIAN HOLDINGS INC,41987910,5.49000
81666,20130531,HA,HAWAIIAN HOLDINGS INC,41987910,5.96000
81666,20130628,HA,HAWAIIAN HOLDINGS INC,41987910,6.11000
81666,20130731,HA,HAWAIIAN HOLDINGS INC,41987910,7.64000
81666,20130830,HA,HAWAIIAN HOLDINGS INC,41987910,7.00000
81666,20130930,HA,HAWAIIAN HOLDINGS INC,41987910,7.44000
81666,20131031,HA,HAWAIIAN HOLDINGS INC,41987910,8.24500
81666,20131129,HA,HAWAIIAN HOLDINGS INC,41987910,9.12000
81666,20131231,HA,HAWAIIAN HOLDINGS INC,41987910,9.63000
81666,20140131,HA,HAWAIIAN HOLDINGS INC,41987910,10.16000
81666,20140228,HA,HAWAIIAN HOLDINGS INC,41987910,12.04000
81666,20140331,HA,HAWAIIAN HOLDINGS INC,41987910,13.96000
81666,20140430,HA,HAWAIIAN HOLDINGS INC,41987910,14.45000
81666,20140530,HA,HAWAIIAN HOLDINGS INC,41987910,15.44000
81666,20140630,HA,HAWAIIAN HOLDINGS INC,41987910,13.71000
81666,20140731,HA,HAWAIIAN HOLDINGS INC,41987910,13.93000
81666,20140829,HA,HAWAIIAN HOLDINGS INC,41987910,15.60000
81666,20140930,HA,HAWAIIAN HOLDINGS INC,41987910,13.45000
81666,20141031,HA,HAWAIIAN HOLDINGS INC,41987910,17.34000
81666,20141128,HA,HAWAIIAN HOLDINGS INC,41987910,20.29000
81666,20141231,HA,HAWAIIAN HOLDINGS INC,41987910,26.05000
81666,20150130,HA,HAWAIIAN HOLDINGS INC,41987910,19.44000
81666,20150227,HA,HAWAIIAN HOLDINGS INC,41987910,18.51000
81666,20150331,HA,HAWAIIAN HOLDINGS INC,41987910,22.02500
81666,20150430,HA,HAWAIIAN HOLDINGS INC,41987910,23.08000
81666,20150529,HA,HAWAIIAN HOLDINGS INC,41987910,24.22000
81666,20150630,HA,HAWAIIAN HOLDINGS INC,41987910,23.75000
81666,20150731,HA,HAWAIIAN HOLDINGS INC,41987910,21.72000
81666,20150831,HA,HAWAIIAN HOLDINGS INC,41987910,22.66000
81666,20150930,HA,HAWAIIAN HOLDINGS INC,41987910,24.68000
81666,20151030,HA,HAWAIIAN HOLDINGS INC,41987910,34.70000
81666,20151130,HA,HAWAIIAN HOLDINGS INC,41987910,36.20000
81666,20151231,HA,HAWAIIAN HOLDINGS INC,41987910,35.33000
81666,20160129,HA,HAWAIIAN HOLDINGS INC,41987910,35.21000
81666,20160229,HA,HAWAIIAN HOLDINGS INC,41987910,43.02000
81666,20160331,HA,HAWAIIAN HOLDINGS INC,41987910,47.19000
81666,20160429,HA,HAWAIIAN HOLDINGS INC,41987910,42.07000
81666,20160531,HA,HAWAIIAN HOLDINGS INC,41987910,40.46000
81666,20160630,HA,HAWAIIAN HOLDINGS INC,41987910,37.96000
81666,20160729,HA,HAWAIIAN HOLDINGS INC,41987910,45.53000
81666,20160831,HA,HAWAIIAN HOLDINGS INC,41987910,46.98000
81666,20160930,HA,HAWAIIAN HOLDINGS INC,41987910,48.60000
81666,20161031,HA,HAWAIIAN HOLDINGS INC,41987910,45.02500
81666,20161130,HA,HAWAIIAN HOLDINGS INC,41987910,51.35000
81666,20161230,HA,HAWAIIAN HOLDINGS INC,41987910,57.00000
81666,20170131,HA,HAWAIIAN HOLDINGS INC,41987910,50.95000
81666,20170228,HA,HAWAIIAN HOLDINGS INC,41987910,48.65000
81666,20170331,HA,HAWAIIAN HOLDINGS INC,41987910,46.45000
81666,20170428,HA,HAWAIIAN HOLDINGS INC,41987910,54.30000
81666,20170531,HA,HAWAIIAN HOLDINGS INC,41987910,50.10000
81666,20170630,HA,HAWAIIAN HOLDINGS INC,41987910,46.95000
81666,20170731,HA,HAWAIIAN HOLDINGS INC,41987910,41.40000
81666,20170831,HA,HAWAIIAN HOLDINGS INC,41987910,42.85000
81666,20170929,HA,HAWAIIAN HOLDINGS INC,41987910,37.55000
81666,20171031,HA,HAWAIIAN HOLDINGS INC,41987910,33.50000
81666,20171130,HA,HAWAIIAN HOLDINGS INC,41987910,43.15000
81666,20171229,HA,HAWAIIAN HOLDINGS INC,41987910,39.85000
81666,20180131,HA,HAWAIIAN HOLDINGS INC,41987910,37.35000
81666,20180228,HA,HAWAIIAN HOLDINGS INC,41987910,36.00000
81666,20180329,HA,HAWAIIAN HOLDINGS INC,41987910,38.70000
81666,20180430,HA,HAWAIIAN HOLDINGS INC,41987910,41.20000
81666,20180531,HA,HAWAIIAN HOLDINGS INC,41987910,37.00000
81666,20180629,HA,HAWAIIAN HOLDINGS INC,41987910,35.95000
81666,20180731,HA,HAWAIIAN HOLDINGS INC,41987910,40.10000
81666,20180831,HA,HAWAIIAN HOLDINGS INC,41987910,41.50000
81666,20180928,HA,HAWAIIAN HOLDINGS INC,41987910,40.10000
81666,20181031,HA,HAWAIIAN HOLDINGS INC,41987910,34.61000
81666,20181130,HA,HAWAIIAN HOLDINGS INC,41987910,40.14000
81666,20181231,HA,HAWAIIAN HOLDINGS INC,41987910,26.41000
81666,20190131,HA,HAWAIIAN HOLDINGS INC,41987910,32.02000
81666,20190228,HA,HAWAIIAN HOLDINGS INC,41987910,29.75000
81666,20190329,HA,HAWAIIAN HOLDINGS INC,41987910,26.25000
81666,20190430,HA,HAWAIIAN HOLDINGS INC,41987910,28.21000
81666,20190531,HA,HAWAIIAN HOLDINGS INC,41987910,24.98000
81666,20190628,HA,HAWAIIAN HOLDINGS INC,41987910,27.43000
81666,20190731,HA,HAWAIIAN HOLDINGS INC,41987910,25.99000
81666,20190830,HA,HAWAIIAN HOLDINGS INC,41987910,24.41000
81666,20190930,HA,HAWAIIAN HOLDINGS INC,41987910,26.26000
81666,20191031,HA,HAWAIIAN HOLDINGS INC,41987910,28.61000
81666,20191129,HA,HAWAIIAN HOLDINGS INC,41987910,30.29000
81666,20191231,HA,HAWAIIAN HOLDINGS INC,41987910,29.29000
81666,20200131,HA,HAWAIIAN HOLDINGS INC,41987910,27.88000
81666,20200228,HA,HAWAIIAN HOLDINGS INC,41987910,20.88000
81666,20200331,HA,HAWAIIAN HOLDINGS INC,41987910,10.44000
81666,20200430,HA,HAWAIIAN HOLDINGS INC,41987910,14.40000
81666,20200529,HA,HAWAIIAN HOLDINGS INC,41987910,14.43000
81666,20200630,HA,HAWAIIAN HOLDINGS INC,41987910,14.04000
81666,20200731,HA,HAWAIIAN HOLDINGS INC,41987910,11.89000
81666,20200831,HA,HAWAIIAN HOLDINGS INC,41987910,13.44000
81666,20200930,HA,HAWAIIAN HOLDINGS INC,41987910,12.89000
81666,20201030,HA,HAWAIIAN HOLDINGS INC,41987910,13.85000
81666,20201130,HA,HAWAIIAN HOLDINGS INC,41987910,20.26000
81666,20201231,HA,HAWAIIAN HOLDINGS INC,41987910,17.70000
81666,20210129,HA,HAWAIIAN HOLDINGS INC,41987910,19.57000
81666,20210226,HA,HAWAIIAN HOLDINGS INC,41987910,26.82000
81666,20210331,HA,HAWAIIAN HOLDINGS INC,41987910,26.67000
81666,20210430,HA,HAWAIIAN HOLDINGS INC,41987910,25.11000
81666,20210528,HA,HAWAIIAN HOLDINGS INC,41987910,25.80000
81666,20210630,HA,HAWAIIAN HOLDINGS INC,41987910,24.37000
81666,20210730,HA,HAWAIIAN HOLDINGS INC,41987910,19.73000
81666,20210831,HA,HAWAIIAN HOLDINGS INC,41987910,20.22000
81666,20210930,HA,HAWAIIAN HOLDINGS INC,41987910,21.66000
81666,20211029,HA,HAWAIIAN HOLDINGS INC,41987910,19.35000
81666,20211130,HA,HAWAIIAN HOLDINGS INC,41987910,18.28000
81666,20211231,HA,HAWAIIAN HOLDINGS INC,41987910,18.37000
81666,20220131,HA,HAWAIIAN HOLDINGS INC,41987910,17.10000
81666,20220228,HA,HAWAIIAN HOLDINGS INC,41987910,19.18000
81666,20220331,HA,HAWAIIAN HOLDINGS INC,41987910,19.70000
84576,20100129,CEA,CHINA EASTERN AIRLINES CORP LTD,16937R10,32.68000
84576,20100226,CEA,CHINA EASTERN AIRLINES CORP LTD,16937R10,41.91000
84576,20100331,CEA,CHINA EASTERN AIRLINES CORP LTD,16937R10,51.30000
84576,20100430,CEA,CHINA EASTERN AIRLINES CORP LTD,16937R10,55.38000
84576,20100528,CEA,CHINA EASTERN AIRLINES CORP LTD,16937R10,41.88000
84576,20100630,CEA,CHINA EASTERN AIRLINES CORP LTD,16937R10,42.90000
84576,20100730,CEA,CHINA EASTERN AIRLINES CORP LTD,16937R10,56.32000
84576,20100831,CEA,CHINA EASTERN AIRLINES CORP LTD,16937R10,25.20000
84576,20100930,CEA,CHINA EASTERN AIRLINES CORP LTD,16937R10,30.55000
84576,20101029,CEA,CHINA EASTERN AIRLINES CORP LTD,16937R10,32.02000
84576,20101130,CEA,CHINA EASTERN AIRLINES CORP LTD,16937R10,29.31000
84576,20101231,CEA,CHINA EASTERN AIRLINES CORP LTD,16937R10,25.42000
84576,20110131,CEA,CHINA EASTERN AIRLINES CORP LTD,16937R10,23.60000
84576,20110228,CEA,CHINA EASTERN AIRLINES CORP LTD,16937R10,22.24000
84576,20110331,CEA,CHINA EASTERN AIRLINES CORP LTD,16937R10,19.03000
84576,20110429,CEA,CHINA EASTERN AIRLINES CORP LTD,16937R10,22.05000
84576,20110531,CEA,CHINA EASTERN AIRLINES CORP LTD,16937R10,22.28000
84576,20110630,CEA,CHINA EASTERN AIRLINES CORP LTD,16937R10,22.38000
84576,20110729,CEA,CHINA EASTERN AIRLINES CORP LTD,16937R10,24.71000
84576,20110831,CEA,CHINA EASTERN AIRLINES CORP LTD,16937R10,24.26000
84576,20110930,CEA,CHINA EASTERN AIRLINES CORP LTD,16937R10,15.44000
84576,20111031,CEA,CHINA EASTERN AIRLINES CORP LTD,16937R10,19.30000
84576,20111130,CEA,CHINA EASTERN AIRLINES CORP LTD,16937R10,21.66000
84576,20111230,CEA,CHINA EASTERN AIRLINES CORP LTD,16937R10,17.76000
84576,20120131,CEA,CHINA EASTERN AIRLINES CORP LTD,16937R10,18.01000
84576,20120229,CEA,CHINA EASTERN AIRLINES CORP LTD,16937R10,18.98000
84576,20120330,CEA,CHINA EASTERN AIRLINES CORP LTD,16937R10,16.50000
84576,20120430,CEA,CHINA EASTERN AIRLINES CORP LTD,16937R10,16.90000
84576,20120531,CEA,CHINA EASTERN AIRLINES CORP LTD,16937R10,14.26000
84576,20120629,CEA,CHINA EASTERN AIRLINES CORP LTD,16937R10,16.00000
84576,20120731,CEA,CHINA EASTERN AIRLINES CORP LTD,16937R10,17.36000
84576,20120831,CEA,CHINA EASTERN AIRLINES CORP LTD,16937R10,15.24000
84576,20120928,CEA,CHINA EASTERN AIRLINES CORP LTD,16937R10,15.19000
84576,20121031,CEA,CHINA EASTERN AIRLINES CORP LTD,16937R10,17.14000
84576,20121130,CEA,CHINA EASTERN AIRLINES CORP LTD,16937R10,17.25000
